feature,importance
f5,6372.74658203125
f13,4891.25341796875
f9,2040.1834716796875
f8,1701.9755859375
f1,1288.1781005859375
f3,1250.071044921875
f10,1119.3935546875
f11,1076.0269775390625
f4,951.8256225585938
f2,878.99658203125
f6,120.45582580566406
f12,114.5208511352539
