iteration,valid_rmse
1,3.7170044338487744
2,3.69526580446595
3,3.673013335735182
4,3.6465052150303765
5,3.623807392808819
6,3.601048358102438
7,3.582251726466416
8,3.5709449148537775
9,3.545127805827781
10,3.541388925555465
11,3.5176481665053028
12,3.510679896036581
13,3.4972548060215995
14,3.4909819284811325
15,3.4820865372245016
16,3.467945128265656
17,3.455632012545046
18,3.455611982222664
19,3.452013092521949
20,3.440569340161637
21,3.4324129762896147
22,3.4206433225581763
23,3.4180411474525987
24,3.4173036366220964
25,3.407101108851635
26,3.399884194525565
27,3.3904080649350394
28,3.390289358689234
29,3.384039645488208
30,3.37403818298591
31,3.3690605954382105
32,3.3616076382459723
33,3.348551696032777
34,3.340999229710619
35,3.339517553023829
36,3.3325737256337047
37,3.3271258355122972
38,3.3220384915884074
39,3.317604614847168
40,3.312683140717368
41,3.3127799622914065
42,3.309757977182518
43,3.305563346101049
44,3.3052801880865577
45,3.2991640332637795
46,3.292031287166382
47,3.2900609270903103
48,3.2866512553105935
49,3.280736615872102
50,3.2783563647070664
51,3.2702992710240246
52,3.268792620026949
53,3.2605169991587446
54,3.252574785085918
55,3.2499019491577097
56,3.244579622344658
57,3.243038305164604
58,3.239942599094775
59,3.240265469378348
60,3.239244808289913
61,3.2359913753872287
62,3.2306306624275534
63,3.2279920518017313
64,3.2240842495817956
65,3.2212703567852645
66,3.2156734990550384
67,3.2135749990331983
68,3.210742187568735
69,3.2102909984941164
70,3.2078463353713174
71,3.204610046809576
72,3.20393817375913
73,3.2051592689674053
74,3.2014239219725362
75,3.2001488630999773
76,3.198377202401355
77,3.1976999031730933
78,3.1930375201589123
79,3.190577537441878
80,3.187196802949691
81,3.1858653435317823
82,3.1832178851153174
83,3.1806785144927536
84,3.1777680062577454
85,3.1778595891520243
86,3.1723632951487826
87,3.1695890173458188
88,3.1656766722996736
89,3.165422145820941
90,3.1632199291547334
91,3.162244234635964
92,3.1630054684501667
93,3.1596435105245604
94,3.1561380268612127
95,3.1531276569777047
96,3.153172187576993
97,3.1495307060922224
98,3.146760075931523
99,3.1470450561154983
100,3.144577296921191
101,3.1432341965537343
102,3.1393876074849696
103,3.138953639443382
104,3.1390944047615013
105,3.139913785407192
106,3.138858263985374
107,3.1369838709325344
108,3.136967889844086
109,3.136379907205228
110,3.133812317998835
111,3.1311485603068667
112,3.1322128748964335
113,3.1325250574083108
114,3.131609664203112
115,3.129339981500087
116,3.126948091954941
117,3.126072936537628
118,3.1268747395384118
119,3.1251543787977125
120,3.12380494153659
121,3.123003799052718
122,3.1203346900840576
123,3.1181725693034257
124,3.1195342178201355
125,3.116278658443145
126,3.1150128529024745
127,3.1142516653876506
128,3.1133507672434138
129,3.1139513066509408
130,3.1125449452240805
131,3.1106391391258086
132,3.110896246388644
133,3.1097286734714733
134,3.108617997029471
135,3.1088886864774454
136,3.109432432320521
137,3.1074653091252986
138,3.1065352517243094
139,3.1052579775094507
140,3.1045940796291
141,3.1052968362330238
142,3.1052296967450603
143,3.104566874549066
144,3.1029395444749963
145,3.103508740055819
146,3.1030810292899673
147,3.102862341649482
148,3.1035616383721263
149,3.1038083640851317
150,3.1037251588078476
151,3.104229372059793
152,3.102081551273618
153,3.1012879278057133
154,3.1005723657208164
155,3.098827996727637
156,3.098255702999006
157,3.097149806334033
158,3.0963065131037744
159,3.096558848546862
160,3.0952621495436894
161,3.0957004690359664
162,3.094741773591888
163,3.0936776644477635
164,3.0930853639481453
165,3.091997141148242
166,3.090851822394293
167,3.090198981482578
168,3.0900295554010393
169,3.0890001536468166
170,3.0880613458875876
171,3.0880678648297737
172,3.0859154673535967
173,3.0855598885421487
174,3.0843823745157373
175,3.0837773415534375
176,3.082287727654398
177,3.08188345696975
178,3.0820014999403433
179,3.081994237996373
180,3.0819570088213784
181,3.0818795322967096
182,3.081044071833629
183,3.0794153634578927
184,3.080287170559999
185,3.0793589987269785
186,3.079229149405048
187,3.079394754782786
188,3.0780598921059266
189,3.077433846976615
190,3.077205242712218
191,3.0769297290015447
192,3.075341972987819
193,3.074488991571124
194,3.0737180970410845
195,3.07402833337901
196,3.074118500251159
197,3.0741755602955876
198,3.075205933026776
199,3.0746283913395938
200,3.073726481263703
201,3.074136799702173
202,3.074224142980623
203,3.0733551021961563
204,3.0722804262086454
205,3.0705384027929594
206,3.071245193853747
207,3.070817448209039
208,3.069220764558415
209,3.0696355856008157
210,3.0698652881616173
211,3.069043905627231
212,3.0691926321525265
213,3.067850911884014
214,3.066926320661804
215,3.067217222163853
216,3.0648395708689367
217,3.0620279195821687
218,3.060913118532097
219,3.0603727610643325
220,3.0597516629887127
221,3.0596436243260974
222,3.059608686975956
223,3.0590624449856754
224,3.0581709740531884
225,3.057249495564371
226,3.0569180454637714
227,3.0562842923557834
