iteration,valid_rmse
1,3.710353179907977
2,3.6834157861827124
3,3.6528621299481285
4,3.6388836402650133
5,3.613637123952034
6,3.5813836765104736
7,3.5702700655163597
8,3.5496892524660693
9,3.519057849132708
10,3.514334147117191
11,3.4840212036979086
12,3.481150119232498
13,3.4542251317917207
14,3.4466708845719793
15,3.4386132511821597
16,3.4278229767983484
17,3.4071443963977397
18,3.4063083311583378
19,3.4054377487939633
20,3.3902320262681114
21,3.3789984998088722
22,3.3653558802939623
23,3.3619818814277735
24,3.361626251119455
25,3.34893550590677
26,3.3366383014603596
27,3.322952688414107
28,3.320468748429223
29,3.3059480772347487
30,3.303991844204855
31,3.2956762051686614
32,3.2844414768498593
33,3.266745277605067
34,3.2570154490387497
35,3.2573267064313467
36,3.2468627480289576
37,3.2380756995264615
38,3.228274541479009
39,3.2197492115117257
40,3.216612877527081
41,3.2148578944249335
42,3.2070324806681536
43,3.2075636940069456
44,3.207428399266969
45,3.1990242494788075
46,3.1883052287337894
47,3.1847332636517067
48,3.179011909398061
49,3.1718628155253277
50,3.166189517061285
51,3.1588158251062524
52,3.15673579524635
53,3.1513164967707414
54,3.1458023456093587
55,3.1360662624470708
56,3.1304434858638284
57,3.1237267063654994
58,3.119968549347164
59,3.1204178347282685
60,3.114326491398918
61,3.110090703110828
62,3.106966029746089
63,3.103259945700505
64,3.103145524292072
65,3.1024933189894157
66,3.099326937637805
67,3.096949992704518
68,3.0967127631321905
69,3.0968267415831345
70,3.0951522100749407
71,3.091422206087056
72,3.0920163601401462
73,3.09157817264875
74,3.0878255502887386
75,3.0856463061845587
76,3.0827593911237994
77,3.0823056368230257
78,3.0784432304100724
79,3.0760090351843434
80,3.075588086207029
81,3.0735451407610452
82,3.0728459193972877
83,3.070774783553948
84,3.066832156217829
85,3.067561569061649
86,3.067640566731564
87,3.065795981467533
88,3.0639857800877004
89,3.063406009453266
90,3.062347182479655
91,3.058918138598357
92,3.05922999268118
93,3.0577898679043582
94,3.0568839609845324
95,3.0569184726262724
96,3.0541422469596995
97,3.052609480102873
98,3.0532679852865363
99,3.052770362257357
100,3.052735339661446
101,3.0514577705302357
102,3.0516515439565945
103,3.0523002382342392
104,3.050374093353068
105,3.05062485150895
106,3.0491486857756085
107,3.0465058909132385
108,3.0470500447643123
109,3.047500205406268
110,3.0477690352832356
111,3.0478677831648664
112,3.048029639050299
113,3.048529821145962
114,3.04749633310155
115,3.047438233324982
116,3.04674708804843
117,3.0469204987893015
118,3.045720896855483
119,3.045610974098076
120,3.045442857923351
121,3.044303381256426
122,3.044192674507579
123,3.0440374729956665
124,3.0433345888877144
125,3.0437626710538823
126,3.0436164972889563
127,3.0437937019886188
128,3.0441344856271746
129,3.044287862923837
130,3.0436598704721387
131,3.0427664729771817
132,3.041707041103957
133,3.0414668768925317
134,3.0394583430500055
135,3.0392204798856866
136,3.0390263876591623
137,3.038451145666808
138,3.037768314343264
139,3.0371160938330237
140,3.0362207747675267
141,3.036167160513365
142,3.0363988404298676
143,3.035867533143727
144,3.0349786385593918
145,3.0343765504131097
146,3.0343940348431557
147,3.0349465521667436
148,3.0344707287278094
149,3.0335109218976464
150,3.0337555090449193
151,3.034104488103269
152,3.0335517226762287
153,3.0331492019185777
154,3.0326253373522407
155,3.0319806804661105
156,3.032369141851482
157,3.0323603977525586
158,3.0325205905080397
159,3.032934664161913
160,3.0332364035517205
161,3.0333521748690355
162,3.0335255680324114
163,3.0336669813921646
164,3.033449656054378
165,3.0337922832956727
166,3.033446479757096
167,3.0331094623189965
168,3.0332564942988856
169,3.03281823425189
170,3.0329881869980286
171,3.0332659120963807
172,3.0332482858947443
173,3.033006311581972
174,3.033088430163306
175,3.0330737101049823
176,3.032850091284064
177,3.032876251678428
178,3.032547248241279
179,3.032640946247715
180,3.033308169064316
181,3.0335861768750196
182,3.0333124848941977
183,3.033490981343775
184,3.033331796065373
185,3.0330516831846084
186,3.0338351606591996
187,3.0337481328654747
188,3.033456050157659
189,3.033485051590604
190,3.0334288456831864
191,3.0333242482568212
192,3.033053021469375
193,3.0326100737259765
194,3.0325908114444218
195,3.0329223288200198
196,3.0330820154864773
197,3.0333105750674614
198,3.0333952121086902
199,3.033002023115344
200,3.032706905497355
201,3.03269062099771
202,3.032768525950008
203,3.032861692430472
204,3.033027141492106
205,3.0331697333416785
