feature,importance
f13,8851.8134765625
f5,8242.05859375
f8,2074.412353515625
f9,2006.461669921875
f1,1858.2064208984375
f10,1838.09033203125
f4,1634.4666748046875
f3,1625.065185546875
f11,1241.8392333984375
f2,1174.12353515625
f12,120.3844985961914
f6,117.36516571044922
